objid,fileid,ra,dec,u,g,r,i,z,field
1237650796220514489,587725074995609782,147.32950058,0.02890199,17.982651,16.303974,15.525997,15.101064,14.777187,180
1237650795683446947,587725074458542251,146.90126547,-0.41315701,19.939854,18.115335,17.117741,16.618891,16.226162,177
1237648720679338261,588848899361276143,146.89163912,-0.51267166,21.214392,18.957577,17.874298,17.283648,16.852921,207
1237648720679338252,588848899361276134,146.88335786,-0.49470751,18.607594,16.857353,15.794552,15.229793,14.816921,207
1237650796220252232,587725074995347525,146.76076717,0.01594951,21.104483,18.504147,17.385292,16.751894,16.416807,176
1237650795683447045,587725074458542338,146.90233276,-0.3136731,20.130825,18.088064,17.005301,16.490316,16.110771,177
1237650795683381563,587725074458476862,146.77713591,-0.24203431,21.050659,19.098684,18.069752,17.587461,17.235523,176
1237648721216209266,588848899898147178,146.75594748,-0.16820537,20.187296,18.629332,17.897047,17.520227,17.336843,207
1237648720679272605,588848899361210566,146.74171683,-0.52466544,19.920429,18.592632,17.775654,17.288807,17.0522,206
1237650795683381502,587725074458476803,146.75172997,-0.40840425,17.800228,16.605257,16.011341,15.659181,15.398062,176
1237650796220252301,587725074995347598,146.72900678,0.02695204,20.401035,18.24542,17.148315,16.62542,16.223621,176
1237650795683381498,587725074458476801,146.7479573,-0.26830807,21.04118,19.080349,17.87491,17.354071,16.923855,176
1237650795683381472,587725074458476784,146.73713194,-0.25220506,20.350853,18.080858,16.863968,16.352516,15.93767,176
1237648720142008580,588848898823946459,145.81814776,-0.87897747,20.683846,18.552063,17.210302,16.664267,16.320242,200
1237648720142008515,588848898823946462,145.82168301,-0.84660582,20.056137,18.345778,17.547159,17.150723,16.866646,200
1237650796219859138,587725074994954394,145.82516853,0.04317839,20.322235,18.351746,17.204632,16.701416,16.275368,170
1237648721215750366,588848899897688275,145.82273128,-0.16028891,19.196077,18.122301,17.598625,17.235865,17.001156,200
1237650795146117231,587725073921212542,145.75411575,-0.75338183,20.24719,18.389231,17.269106,16.731585,16.273724,170
1237648720141943039,588848898823880913,145.58218629,-0.89273044,20.016165,18.13125,17.176617,16.743015,16.379026,199
1237650795146117247,587725073921212555,145.75971546,-0.81389076,18.732292,16.940342,16.081766,15.613448,15.290132,170
1237648720678879482,588848899360817305,145.78110031,-0.60535005,20.039774,18.133554,17.093685,16.647093,16.318111,200
1237648721215750297,588848899897688200,145.74479156,-0.07635838,18.043507,16.959558,16.482407,16.135181,15.974754,200
1237648721215684769,588848899897622703,145.60122145,-0.00138621433,19.46607,17.919893,17.160589,16.665976,16.411383,199
1237648721215750163,588848899897688081,145.73727182,-0.06101872,20.200672,18.208666,17.101755,16.594025,16.227831,200
1237648721215684759,588848899897622693,145.59829472,-0.20218156,19.215464,17.726517,17.000156,16.553539,16.261196,199
1237648721215750320,588848899897688220,145.77844213,-0.1345533,21.048178,18.854837,17.677198,17.165209,16.77272,200
1237648704023757044,587725074458083567,145.80123759,-0.21111529,20.932278,18.957581,17.814157,17.230627,16.764921,15
1237650795145920759,587725073921016030,145.39835832,-0.67087842,20.636003,18.559694,17.431269,16.987114,16.648346,167
1237650795145920729,587725073921016006,145.37819039,-0.67428272,20.898867,18.782402,17.811581,17.392956,17.037579,167
1237650795145920732,587725073921016009,145.38820313,-0.6922355,20.334217,18.558403,17.420946,16.918362,16.554338,167
1237648720678682916,588848899360620830,145.39430437,-0.55765439,19.205896,18.136024,17.519024,17.117311,16.91424,197
1237650795145986295,587725073921081603,145.52623281,-0.74740677,21.423616,19.200859,17.819204,17.252295,16.890722,168
1237650795145986369,587725073921081667,145.55749961,-0.69318944,20.790613,18.919882,17.547035,17.008427,16.666277,168
1237650796219662548,587725074994757851,145.41309818,0.10648932,20.432728,18.621765,17.675175,17.135866,16.751749,167
1237650795682791609,587725074457886911,145.36475762,-0.34275903,20.417402,18.323574,17.390629,16.928041,16.645491,167
1237650795682791626,587725074457886934,145.3910407,-0.4155714,19.712793,18.11381,17.357771,16.914049,16.588427,167
1237650795682791646,587725074457886953,145.40679865,-0.31436316,20.83918,18.841106,17.720285,17.254683,16.89068,167
1237648721215553783,588848899897491577,145.39619052,-0.09124225,19.786924,18.055559,17.134434,16.647829,16.290134,197
1237650796219662509,587725074994757811,145.34749122,0.05439489,20.16798,18.117908,17.07564,16.621527,16.249128,167
1237650795145920715,587725073921015993,145.36217649,-0.71400331,19.35281,18.222435,17.663746,17.330229,17.204363,167
1237648720678682871,588848899360620784,145.34159722,-0.57726796,19.659145,17.81633,16.914173,16.525127,16.198442,197
1237648720141811978,588848898823749823,145.34204666,-0.90634356,20.677685,18.654299,17.452747,16.98241,16.590561,197
1237650795682791578,587725074457886881,145.32061798,-0.25286258,18.570566,17.264502,16.642672,16.268511,16.008688,167
1237648721215553734,588848899897491645,145.34439305,-0.01694136,20.195463,18.131582,17.147884,16.693888,16.332687,197
1237650795682791595,587725074457886896,145.34422008,-0.36848875,21.41778,19.103498,17.749168,17.234797,16.859529,167
1237650796219662479,587725074994757796,145.33005857,0.04312253,19.892609,18.350067,17.595661,17.140774,16.854937,167
1237650796219662494,587725074994757801,145.34058856,0.01917485,19.686516,17.90177,16.822092,16.341764,15.954467,167
1237648720678682858,588848899360620771,145.33122863,-0.54206427,19.979218,18.422472,17.593809,17.149864,16.817347,197
1237648722289361169,588848900971299065,145.54108817,0.79545612,19.548611,18.331448,17.73443,17.404762,17.241749,198
1237650797293404284,587725076068499615,145.3904524,0.95782142,20.956402,19.111534,17.844429,17.292585,16.876726,167
1237650797293404366,587727942421315711,145.40985973,1.02657215,20.993963,19.006895,17.792091,17.283077,16.89642,167
1237650795146444862,587725073921540169,146.59272527,-0.76025691,19.068829,17.615936,16.969915,16.575569,16.340174,175
1237648720142336237,588848898824274160,146.57133399,-0.95720486,18.538393,17.047279,16.253967,15.79454,15.45365,205
1237650795146379400,587725073921474722,146.36033353,-0.81669021,20.1085,18.294331,17.219103,16.768242,16.401663,174
1237650795146248378,587725073921343693,146.14357408,-0.74163418,20.382301,18.029474,16.597853,16.073545,15.699542,172
1237650795146248369,587725073921343689,146.13556425,-0.68218424,20.946522,18.840734,17.417023,16.896212,16.525772,172
1237650795683315926,587725074458411196,146.575644,-0.29126694,19.797441,18.215551,17.195303,16.692713,16.344385,175
1237648721216078463,588848899898016107,146.59446595,-0.13315649,19.986267,18.382534,17.670822,17.265265,16.939404,205
1237648721216143430,588848899898081356,146.60364369,-0.19146509,18.916796,17.659054,16.981741,16.557737,16.319902,206
1237650796220186902,587725074995282210,146.60806552,0.04767726,20.336901,18.836325,18.033995,17.605873,17.312778,175
1237650795683315881,587725074458411163,146.60634322,-0.2132232,20.424072,19.026276,18.128281,17.649508,17.299101,175
1237650795146182819,587725073921278122,145.93787444,-0.73395979,19.37571,17.702818,16.822853,16.389868,16.059908,171
1237650795683250326,587725074458345486,146.37378478,-0.36844441,19.382982,17.219095,16.25769,15.72118,15.372891,174
1237650795683250349,587725074458345636,146.38138249,-0.3865069,20.800812,18.26454,17.225372,16.674091,16.230669,174
1237648721216012470,588848899897950369,146.35576136,-0.1433705,19.265749,17.196564,16.142223,15.626667,15.230551,204
1237650795683250311,587725074458345621,146.35206762,-0.33271428,18.737959,17.248182,16.488922,16.022472,15.72108,174
1237650795683250319,587725074458345628,146.36540442,-0.34354543,19.388121,17.597713,16.709145,16.186872,15.834756,174
1237650795683250364,587725074458345647,146.39901157,-0.35040488,19.935528,18.654764,18.010962,17.585375,17.261797,174
1237650796220121111,587725074995216406,146.36987458,0.08219565,19.767996,18.223469,17.457809,16.967907,20.407339,174
1237650795683184841,587725074458280091,146.32964845,-0.30622332,18.586578,17.27549,16.636717,16.274286,16.097469,173
1237650796220121127,587725074995216424,146.39969409,0.03222322,21.583792,19.289476,18.055979,17.445036,16.968132,174
1237650796220121207,587725074995216515,146.34706686,0.07541249,20.622065,18.494411,17.376915,16.849926,16.430098,174
1237648721215946884,588848899897884838,146.19330903,-0.038845,19.80448,17.533344,16.416439,15.901687,15.456738,203
1237650795683184714,587725074458280018,146.2222577,-0.37590131,18.568642,17.181948,16.383261,15.949963,15.65401,173
1237648721215946862,588848899897884807,146.16232562,-0.02241046,20.652113,18.896521,17.84775,17.359608,17.007956,203
1237650796219924680,587725074995019882,146.0233702,0.0220067,21.456968,19.000648,17.749279,17.092655,16.575346,171
1237650796219924743,587725074995019950,145.97521914,0.10667949,21.241102,19.177706,18.019493,17.484449,17.058142,171
1237648721215946868,588848899897884814,146.16560692,-0.06414709,20.153061,18.09177,17.06827,16.589788,16.16165,203
1237650795683053764,587725074458149044,145.9876064,-0.34252667,20.490725,18.725121,17.788445,17.280651,16.905241,171
1237648721215815939,588848899897753865,145.99392531,-0.13585573,19.505199,17.687492,16.696478,16.208641,15.80531,201
1237650796219924629,587725074995019925,145.95018444,0.07205385,20.891638,18.847141,17.699486,17.199553,16.776148,171
1237648720141746448,588848898823684293,145.19626694,-0.87999849,19.86018,18.266645,17.453695,17.066462,16.825878,196
1237650795145855144,587725073920950454,145.16045526,-0.6554777,19.498737,18.1691,17.318516,16.862795,16.574921,166
1237648720678617240,588848899360555185,145.16735032,-0.4823467,19.507912,18.086657,17.640598,17.335711,17.139305,196
1237650797293338816,587725076068434109,145.19869166,0.93267181,19.726671,18.446745,17.908594,17.55913,17.385359,166
1237650796219596957,587725074994692264,145.193878,0.16890635,20.19973,18.345539,17.471701,17.083902,16.757448,166
1237648722289557713,588848900971495648,145.99262525,0.78806832,18.71734,17.217157,16.413321,15.965576,15.623343,201
