objid,redshift,plate,mjd,fiberid,class
1237650796220186902,0.092124,266,51630,113,GALAXY
1237650795683315881,0.120617,266,51630,114,GALAXY
1237650795146182819,0.142703,266,51630,131,GALAXY
1237650795683250326,0.052907,266,51630,141,GALAXY
1237650795683250349,0.052603,266,51630,142,GALAXY
1237648721216012470,0.030739,266,51630,144,GALAXY
1237650795683250311,0.052176,266,51630,146,GALAXY
1237650795683250319,0.052484,266,51630,151,GALAXY
1237650795683250364,0.053548,266,51630,154,GALAXY
1237650796220121111,0.067523,266,51630,156,GALAXY
1237650795683184841,0.036452,266,51630,158,GALAXY
1237650796220121127,0.128487,266,51630,159,GALAXY
1237650796220121207,0.062282,266,51630,160,GALAXY
1237648721215946884,0.062961,266,51630,166,GALAXY
1237650795683184714,0.067406,266,51630,168,GALAXY
1237648721215946862,0.091557,266,51630,171,GALAXY
1237650796219924680,0.125543,266,51630,175,GALAXY
1237650796219924743,0.125411,266,51630,176,GALAXY
1237648721215946868,0.063207,266,51630,177,GALAXY
1237650795683053764,0.126198,266,51630,179,GALAXY
1237648721215815939,0.063048,266,51630,180,GALAXY
1237650796219924629,0.12582,266,51630,191,GALAXY
1237648720141746448,0.118615,266,51630,290,GALAXY
1237650795145855144,0.150441,266,51630,295,GALAXY
1237648720678617240,0.062374,266,51630,319,GALAXY
1237650797293338816,0.061472,266,51630,324,GALAXY
1237650796219596957,0.090159,266,51630,354,GALAXY
1237648722289557713,0.03801,266,51630,403,GALAXY
1237648722826428568,0.154082,266,51630,406,GALAXY
1237648722289623245,0.123209,266,51630,411,GALAXY
1237648722289557692,0.036357,266,51630,412,GALAXY
1237648722289623239,0.037455,266,51630,413,GALAXY
1237648722289623338,0.122271,266,51630,454,GALAXY
1237648722289623054,0.036177,266,51630,461,GALAXY
1237648721752686780,0.143653,266,51630,463,GALAXY
1237648722289623248,0.035169,266,51630,466,GALAXY
1237650796756795418,0.030384,266,51630,467,GALAXY
1237650796756795423,0.12362,266,51630,469,GALAXY
1237648722289557665,0.143454,266,51630,470,GALAXY
1237650796219924667,0.127127,266,51630,472,GALAXY
1237650796219924616,0.145436,266,51630,475,GALAXY
1237650796219924757,0.202569,266,51630,476,GALAXY
1237650796219924631,0.144555,266,51630,477,GALAXY
1237650796219924614,0.08003,266,51630,479,GALAXY
1237648721752686769,0.125662,266,51630,480,GALAXY
1237648722289688840,0.193654,266,51630,482,GALAXY
1237650796756861130,0.141342,266,51630,486,GALAXY
1237648721752752343,0.218385,266,51630,488,GALAXY
1237650796219990080,0.122789,266,51630,491,GALAXY
1237650795146445031,0.064656,266,51630,4,GALAXY
1237648720679272634,0.089345,266,51630,106,GALAXY
1237650795683381380,0.130249,266,51630,110,GALAXY
1237650796220186869,0.125857,266,51630,112,GALAXY
1237648721216143450,0.132126,266,51630,117,GALAXY
1237648721216143524,0.069341,266,51630,120,GALAXY
1237648720678944894,0.07159,266,51630,138,GALAXY
1237650795683053709,0.097739,266,51630,181,GALAXY
1237648721215815722,0.127024,266,51630,184,GALAXY
1237648720678944999,0.203196,266,51630,185,GALAXY
1237650795682988326,0.097988,266,51630,186,GALAXY
1237648721215815838,0.090997,266,51630,189,GALAXY
1237650796219859194,0.127791,266,51630,192,GALAXY
1237650796219859159,0.129491,266,51630,193,GALAXY
1237650796219859165,0.155431,266,51630,195,GALAXY
1237650796219859039,0.127746,266,51630,196,GALAXY
1237650796219859174,0.122486,266,51630,198,GALAXY
1237650795146051757,0.149185,266,51630,204,GALAXY
1237648720141943100,0.067595,266,51630,207,GALAXY
1237650795146051731,0.14551,266,51630,214,GALAXY
1237650795146051733,0.021652,266,51630,215,GALAXY
1237650795146051795,0.071566,266,51630,217,GALAXY
1237650796219793563,0.124705,266,51630,226,GALAXY
1237648721215684828,0.097682,266,51630,229,GALAXY
1237648721215750275,0.098322,266,51630,230,GALAXY
1237648720678879348,0.164054,266,51630,236,GALAXY
1237650795682922788,0.030363,266,51630,240,GALAXY
1237650795145986089,0.060844,266,51630,243,GALAXY
1237648720141877432,0.146408,266,51630,246,GALAXY
1237650795145986270,0.146764,266,51630,258,GALAXY
1237648720678748320,0.126777,266,51630,260,GALAXY
1237650796219728015,0.122466,266,51630,262,GALAXY
1237650796219662565,0.090878,266,51630,266,GALAXY
1237648721215619221,0.090536,266,51630,271,GALAXY
1237648720678748371,0.126764,266,51630,274,GALAXY
1237650796219728040,0.122822,266,51630,276,GALAXY
1237650796219728147,0.181435,266,51630,277,GALAXY
1237648720141746455,0.141459,266,51630,283,GALAXY
1237650795145855243,0.147675,266,51630,284,GALAXY
1237648720678617276,0.12967,266,51630,296,GALAXY
1237648721215553691,0.122171,266,51630,303,GALAXY
1237650795682726146,0.122389,266,51630,308,GALAXY
1237648720678617377,0.221124,266,51630,311,GALAXY
1237648721215488183,0.123589,266,51630,312,GALAXY
1237648720678682671,0.148294,266,51630,318,GALAXY
1237650797293469726,0.136246,266,51630,327,GALAXY
1237648722289230091,0.047079,266,51630,331,GALAXY
1237648722289361065,0.051259,266,51630,333,GALAXY
1237650797293338728,0.057206,266,51630,337,GALAXY
1237648722289295510,0.079322,266,51630,339,GALAXY
1237650796756533504,0.146912,266,51630,345,GALAXY
1237650796756533425,0.098416,266,51630,348,GALAXY
1237648721752359060,0.098253,266,51630,350,GALAXY
1237650796219596986,0.121914,266,51630,355,GALAXY
1237648721752359194,0.125674,266,51630,358,GALAXY
1237648721752424631,0.064601,266,51630,359,GALAXY
1237650796219596962,0.083186,266,51630,360,GALAXY
1237648703503663267,0.118478,287,52023,1,GALAXY
1237648703503663216,0.119668,287,52023,5,GALAXY
1237648703503663224,0.071305,287,52023,7,GALAXY
1237648703503728878,0.071342,287,52023,12,GALAXY
1237648702966792310,0.021369,287,52023,13,GALAXY
1237648703503663252,0.088575,287,52023,14,GALAXY
1237648703503663352,0.252976,287,52023,15,GALAXY
1237648720158785617,0.040086,287,52023,16,GALAXY
1237648720158785601,0.198486,287,52023,18,GALAXY
